track_id,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,rn,playlists_total_outros,charts_total_outros,presenca_total_outros
7502400,16,15,20,0,0,1,36,15,51
2101565,15,15,6,0,0,1,21,15,36
5602322,2,15,1,0,0,1,3,15,18
8056641,43,15,116,0,0,1,159,15,174
1214913,16,15,5,0,1,1,21,16,37
1413502,6,15,0,0,0,1,6,15,21
1633065,4,15,10,0,0,1,14,15,29
3393833,54,16,259,0,13,1,313,29,342
2142936,23,16,9,0,5,1,32,21,53
2284105,12,16,14,0,0,1,26,16,42
1109166,52,16,65,0,206,1,117,222,339
4012549,26,16,17,0,1,1,43,17,60
2828618,128,17,1663,0,0,1,1791,17,1808
2841488,15,17,0,0,0,1,15,17,32
6204936,113,17,208,0,192,1,321,209,530
2070479,3,17,2,0,0,1,5,17,22
2717112,1,17,11,0,0,1,12,17,29
4866757,5,17,5,0,0,1,10,17,27
5930788,60,17,154,0,22,1,214,39,253
7500786,49,17,30,0,0,1,79,17,96
5686736,13,18,12,0,0,1,25,18,43
6386843,3,18,14,0,0,1,17,18,35
4845139,0,18,6,0,0,1,6,18,24
3146245,8,18,20,0,1,1,28,19,47
7780139,6,18,1,0,0,1,7,18,25
6047703,146,18,478,0,7,1,624,25,649
6145430,7,18,7,0,0,1,14,18,32
7068825,68,18,75,0,1,1,143,19,162
2602763,167,19,318,0,1,1,485,20,505
8584244,44,19,135,0,6,1,179,25,204
7748090,275,19,738,0,0,1,1013,19,1032
3035987,9,20,7,0,0,1,16,20,36
5179092,16,20,4,0,0,1,20,20,40
4974042,21,20,40,0,0,1,61,20,81
4940529,6,20,8,0,0,1,14,20,34
8346639,1,20,5,0,1,1,6,21,27
4795987,60,20,2,0,0,1,62,20,82
3853127,4,20,0,0,0,1,4,20,24
5476124,31,21,15,0,4,1,46,25,71
8096695,20,21,99,0,7,1,119,28,147
7476887,68,21,24,0,259,1,92,280,372
2816072,7,21,2,0,0,1,9,21,30
5697442,10,21,7,0,9,1,17,30,47
7629327,19,21,14,0,2,1,33,23,56
7435337,23,21,121,0,13,1,144,34,178
4764570,7,21,11,0,0,1,18,21,39
1452364,23,21,31,0,0,1,54,21,75
4611820,6,21,3,0,0,1,9,21,30
4600873,89,21,65,0,0,1,154,21,175
1718193,12,22,12,0,2,1,24,24,48
2061482,90,22,365,0,114,1,455,136,591
2628329,14,22,0,0,0,1,14,22,36
6829928,10,22,3,0,0,1,13,22,35
1266830,34,23,118,0,0,1,152,23,175
5073649,49,23,110,0,8,1,159,31,190
6327262,124,24,254,0,8,1,378,32,410
5111873,138,24,133,0,1,1,271,25,296
2346155,143,24,110,0,70,1,253,94,347
1532080,10,24,11,0,0,1,21,24,45
1776310,136,24,1959,0,30,1,2095,54,2149
2977289,85,24,200,0,2,1,285,26,311
2848319,7,25,12,0,0,1,19,25,44
7429862,52,25,32,0,10,1,84,35,119
4812397,38,25,61,0,263,1,99,288,387
2407166,30,26,15,0,0,1,45,26,71
6773043,29,26,17,0,0,1,46,26,72
8217918,45,27,1197,0,43,1,1242,70,1312
3657141,13,27,8,0,0,1,21,27,48
3115886,124,27,587,0,4,1,711,31,742
3910891,72,27,47,0,0,1,119,27,146
1839223,237,27,636,0,0,1,873,27,900
1582892,54,28,43,0,0,1,97,28,125
2166194,5,28,9,0,0,1,14,28,42
4528930,42,28,43,0,0,1,85,28,113
4505539,43,28,79,0,208,1,122,236,358
3694791,19,29,21,0,0,1,40,29,69
3439901,7,29,3,0,0,1,10,29,39
6131592,11,29,14,0,0,1,25,29,54
5975489,5,29,14,0,0,1,19,29,48
6195210,144,30,86,0,0,1,230,30,260
3891081,209,30,449,0,0,1,658,30,688
3647986,10,30,13,0,33,1,23,63,86
8597238,120,30,52,0,1,1,172,31,203
6791135,5,31,1,0,0,1,6,31,37
8965193,101,32,2655,0,666,1,2756,698,3454
3557036,255,32,582,0,14,1,837,46,883
3054476,3,33,3,0,1,1,6,34,40
8949659,188,34,710,0,5,1,898,39,937
5498548,92,34,131,0,0,1,223,34,257
4738813,90,35,5,0,0,1,95,35,130
3970396,14,35,1,0,0,1,15,35,50
4809507,5,36,1,0,0,1,6,36,42
8480431,125,36,150,0,0,1,275,36,311
4497491,31,37,31,0,189,1,62,226,288
6250958,71,37,653,0,167,1,724,204,928
7587856,231,37,1509,0,13,1,1740,50,1790
3559931,20,38,12,0,0,1,32,38,70
3476652,36,38,13,0,3,1,49,41,90
6698200,107,38,95,0,0,1,202,38,240
8455676,63,39,1315,0,2,1,1378,41,1419
1291434,89,39,158,0,0,1,247,39,286
1289598,117,39,141,0,46,1,258,85,343
5350195,34,39,30,0,0,1,64,39,103
8167749,65,39,41,0,0,1,106,39,145
4439384,63,40,76,0,0,1,139,40,179
4618597,5,40,12,0,0,1,17,40,57
2484929,10,41,20,0,1,1,30,42,72
8125634,18,41,5,0,19,1,23,60,83
1545230,28,42,23,0,0,1,51,42,93
8134740,52,42,100,0,0,1,152,42,194
1198357,85,43,134,0,0,1,219,43,262
4666772,45,43,45,0,3,1,90,46,136
8956923,27,44,24,0,5,1,51,49,100
7741272,39,45,27,0,1,1,66,46,112
2744235,65,45,398,0,1,1,463,46,509
3169976,73,45,119,0,0,1,192,45,237
5821993,19,45,0,0,10,1,19,55,74
4131863,39,45,250,0,0,1,289,45,334
7403072,25,46,105,0,45,1,130,91,221
7423770,24,47,74,0,0,1,98,47,145
4501584,7,47,15,0,0,1,22,47,69
3378211,300,47,690,0,0,1,990,47,1037
5337859,39,47,36,0,0,1,75,47,122
2748330,15,48,50,0,3,1,65,51,116
4923571,38,48,20,0,0,1,58,48,106
7137376,118,48,143,0,240,1,261,288,549
4341380,1,50,19,0,19,1,20,69,89
8689972,22,51,12,0,0,1,34,51,85
1230186,42,51,32,0,0,1,74,51,125
4238748,18,51,1005,0,0,1,1023,51,1074
1438195,26,52,10,0,95,1,36,147,183
5678676,6,52,11,0,0,1,17,52,69
8274842,1,52,8,0,1170,1,9,1222,1231
6402604,16,53,1,0,61,1,17,114,131
7699876,115,53,286,0,0,1,401,53,454
1014962,71,53,181,0,10,1,252,63,315
3546129,11,54,0,0,103,1,11,157,168
1221828,34,54,34,0,2,1,68,56,124
7271843,209,54,710,0,18,1,919,72,991
7298366,175,55,95,0,2,1,270,57,327
4566008,129,55,128,0,101,1,257,156,413
7653113,67,55,48,0,6,1,115,61,176
8013969,82,55,50,0,9,1,132,64,196
7370086,37,55,32,0,272,1,69,327,396
4064553,10,56,17,0,0,1,27,56,83
8537557,12,56,13,0,13,1,25,69,94
2616615,108,56,30,0,0,1,138,56,194
5282587,33,57,30,0,11,1,63,68,131
3867590,121,58,212,0,0,1,333,58,391
2840055,11,58,5,0,21,1,16,79,95
5750956,185,61,485,0,0,1,670,61,731
5694303,83,63,4180,0,0,1,4263,63,4326
2003358,44,63,91,0,24,1,135,87,222
4989276,16,63,8,0,0,1,24,63,87
6984128,183,63,465,0,11,1,648,74,722
8189388,80,65,476,0,14,1,556,79,635
8360758,382,65,497,0,12,1,879,77,956
2264316,36,65,28,0,0,1,64,65,129
2166249,9,66,10,0,0,1,19,66,85
2392756,8,67,66,0,0,1,74,67,141
8171348,28,67,195,0,0,1,223,67,290
5673293,20,68,50,0,22,1,70,90,160
3512881,41,69,38,0,36,1,79,105,184
3412305,107,69,5239,0,558,1,5346,627,5973
6029543,30,70,142,0,27,1,172,97,269
2754241,58,70,43,0,182,1,101,252,353
2634614,42,70,384,0,3,1,426,73,499
3747351,6,71,1,0,31,1,7,102,109
2578085,23,71,14,0,9,1,37,80,117
7881394,4,72,5,0,5,1,9,77,86
6063105,16,72,5,0,8,1,21,80,101
3087104,140,72,251,0,0,1,391,72,463
4342968,139,73,142,0,5,1,281,78,359
3814674,28,73,64,0,0,1,92,73,165
4586215,174,73,344,0,0,1,518,73,591
3305057,2,74,14,0,2,1,16,76,92
6552512,211,74,929,0,129,1,1140,203,1343
6900582,114,74,262,0,0,1,376,74,450
8654169,18,75,9,0,0,1,27,75,102
4765423,69,76,335,0,0,1,404,76,480
4148996,29,76,24,0,162,1,53,238,291
8729578,54,76,900,0,0,1,954,76,1030
6352056,86,76,59,0,16,1,145,92,237
7726159,81,77,133,0,0,1,214,77,291
5426643,18,77,61,0,1,1,79,78,157
6158916,18,78,24,0,30,1,42,108,150
6602768,13,78,2,0,0,1,15,78,93
4978027,11,78,35,0,21,1,46,99,145
2699923,38,79,65,0,1,1,103,80,183
4004325,10,79,2,0,42,1,12,121,133
1936946,21,79,2,0,0,1,23,79,102
8399372,173,79,175,0,168,1,348,247,595
6909746,73,79,123,0,0,1,196,79,275
4942277,11,80,1,0,8,1,12,88,100
1119309,17,80,38,0,0,1,55,80,135
6062396,16,81,23,0,0,1,39,81,120
1840761,18,82,0,0,5,1,18,87,105
4105518,36,82,39,0,5,1,75,87,162
3986213,22,82,8,0,9,1,30,91,121
4053069,23,82,6,0,113,1,29,195,224
3827734,128,84,75,0,35,1,203,119,322
4604858,84,84,42,0,23,1,126,107,233
8290102,24,85,102,0,1,1,126,86,212
1050544,21,86,138,0,2,1,159,88,247
7122267,13,87,17,0,46,1,30,133,163
2092930,85,87,179,0,12,1,264,99,363
2188178,289,87,2430,0,36,1,2719,123,2842
7853001,49,88,62,0,0,1,111,88,199
3575524,37,88,9,0,14,1,46,102,148
6953068,3,88,1,0,52,1,4,140,144
1239958,68,89,65,0,25,1,133,114,247
7531207,66,89,61,0,11,1,127,100,227
7235348,95,89,44,0,0,1,139,89,228
4491971,13,89,34,0,3,1,47,92,139
1640645,17,89,11,0,0,1,28,89,117
3546474,16,90,10,0,64,1,26,154,180
7387090,72,90,141,0,0,1,213,90,303
3090144,47,90,1,0,7,1,48,97,145
1633830,24,92,93,0,0,1,117,92,209
7304378,113,92,259,0,1,1,372,93,465
8571641,15,93,30,0,320,1,45,413,458
5865058,24,94,9,0,23,1,33,117,150
6380084,122,94,1992,0,18,1,2114,112,2226
7806612,98,95,453,0,454,1,551,549,1100
4492232,23,95,11,0,3,1,34,98,132
7526938,71,95,31,0,2,1,102,97,199
3782910,66,96,43,0,0,1,109,96,205
6620188,8,96,5,0,56,1,13,152,165
7680579,60,96,71,0,115,1,131,211,342
8499304,57,97,35,0,429,1,92,526,618
8803071,72,97,58,0,154,1,130,251,381
3163708,26,98,4,0,0,1,30,98,128
8744804,20,99,44,0,2,1,64,101,165
4278371,144,99,251,0,0,1,395,99,494
6372609,165,99,104,0,0,1,269,99,368
6735267,24,101,113,0,40,1,137,141,278
7021208,11,101,0,0,48,1,11,149,160
2009624,38,101,26,0,0,1,64,101,165
2820265,22,101,0,0,66,1,22,167,189
1274739,9,101,5,0,73,1,14,174,188
1471634,33,102,93,0,30,1,126,132,258
7517093,16,102,7,0,55,1,23,157,180
4502825,16,103,9,0,55,1,25,158,183
5324238,228,105,2453,0,84,1,2681,189,2870
6670857,38,105,25,0,2,1,63,107,170
1539892,4,106,0,0,7,1,4,113,117
1236328,231,106,439,0,0,1,670,106,776
3521113,8,106,6,0,8,1,14,114,128
1928790,433,107,3631,0,26,1,4064,133,4197
5350503,182,107,160,0,1,1,342,108,450
1001428,240,107,268,0,5,1,508,112,620
7179210,2,107,8,0,0,1,10,107,117
8753775,126,108,406,0,0,1,532,108,640
2320654,44,109,131,0,0,1,175,109,284
2012053,14,110,9,0,49,1,23,159,182
2886961,85,110,500,0,0,1,585,110,695
4837745,20,110,20,0,69,1,40,179,219
1729982,160,110,163,0,5,1,323,115,438
4070434,32,110,26,0,0,1,58,110,168
7224008,274,111,1302,0,0,1,1576,111,1687
5666047,195,111,310,0,0,1,505,111,616
1461831,4,113,20,0,1,1,24,114,138
7811952,69,113,695,0,458,1,764,571,1335
5223297,284,114,1481,0,5,1,1765,119,1884
1961503,197,115,112,0,200,1,309,315,624
1647722,47,116,266,0,0,1,313,116,429
